time,participant,order,category
0:00:00,participant13,1,0
0:00:02,participant13,1,1
0:00:05,participant13,1,1
0:00:06,participant13,1,0
0:00:08,participant13,1,0
0:00:09,participant13,1,0
0:00:10,participant13,1,0
0:00:12,participant13,1,1
0:00:14,participant13,1,0
0:00:16,participant13,1,0
0:00:17,participant13,1,0
0:00:19,participant13,1,0
0:00:22,participant13,1,0
0:00:25,participant13,1,0
0:00:28,participant13,1,0
0:00:31,participant13,1,0
0:00:32,participant13,1,0
0:00:34,participant13,1,0
0:00:36,participant13,1,0
0:00:38,participant13,1,0
0:00:40,participant13,1,0
0:00:41,participant13,1,0
0:00:42,participant13,1,0
0:00:45,participant13,1,0
0:00:47,participant13,1,0
0:00:49,participant13,1,0
0:00:52,participant13,1,0
0:00:54,participant13,1,0
0:00:57,participant13,1,0
0:00:58,participant13,1,0
0:01:01,participant13,1,0
0:01:03,participant13,1,0
0:01:04,participant13,1,0
0:01:06,participant13,1,0
0:01:07,participant13,1,0
0:01:15,participant13,1,0
0:01:16,participant13,1,0
0:01:17,participant13,1,0
0:01:25,participant13,1,0
0:01:28,participant13,1,0
0:01:29,participant13,1,0
0:01:32,participant13,1,0
0:01:36,participant13,1,0
0:01:38,participant13,1,0
0:01:40,participant13,1,0
0:01:49,participant13,1,0
0:01:52,participant13,1,0
0:01:54,participant13,1,0
0:01:57,participant13,1,0
0:02:00,participant13,1,0
0:02:01,participant13,1,0
0:02:03,participant13,1,0
0:02:07,participant13,1,0
0:02:10,participant13,1,0
0:02:12,participant13,1,1
0:02:16,participant13,1,0
0:02:18,participant13,1,1
0:02:20,participant13,1,0
0:02:21,participant13,1,0
0:02:24,participant13,1,0
0:02:27,participant13,1,0
0:02:28,participant13,1,1
0:02:31,participant13,1,0
0:02:35,participant13,1,0
0:02:36,participant13,1,0
0:02:38,participant13,1,0
0:02:40,participant13,1,0
0:02:43,participant13,1,0
0:02:43,participant13,1,0
0:02:47,participant13,1,0
0:02:49,participant13,1,0
0:02:50,participant13,1,0
0:02:53,participant13,1,0
0:02:54,participant13,1,0
0:02:56,participant13,1,0
0:03:01,participant13,1,0
0:03:02,participant13,1,0
0:03:04,participant13,1,0
0:03:05,participant13,1,0
0:03:06,participant13,1,0
0:03:10,participant13,1,0
0:03:11,participant13,1,0
0:03:17,participant13,1,0
0:03:19,participant13,1,1
0:03:20,participant13,1,0
0:03:21,participant13,1,0
0:03:22,participant13,1,0
0:03:24,participant13,1,0
0:03:25,participant13,1,0
0:03:26,participant13,1,0
0:03:27,participant13,1,0
0:03:29,participant13,1,0
0:03:30,participant13,1,0
0:03:31,participant13,1,0
0:03:34,participant13,1,0
0:03:35,participant13,1,0
0:03:37,participant13,1,0
0:03:39,participant13,1,0
0:03:45,participant13,1,0
0:03:49,participant13,1,0
0:03:52,participant13,1,0
0:03:52,participant13,1,0
0:03:55,participant13,1,0
0:03:56,participant13,1,1
0:03:58,participant13,1,0
0:04:01,participant13,1,0
0:04:03,participant13,1,1
0:04:08,participant13,1,0
0:04:09,participant13,1,0
0:04:11,participant13,1,0
0:04:14,participant13,1,0
0:04:17,participant13,1,0
0:04:18,participant13,1,0
0:04:19,participant13,1,0
0:04:20,participant13,1,0
0:04:23,participant13,1,0
0:04:26,participant13,1,0
0:04:32,participant13,1,0
0:04:35,participant13,1,0
0:04:37,participant13,1,0
0:04:40,participant13,1,0
0:04:40,participant13,1,0
0:04:43,participant13,1,0
0:04:44,participant13,1,0
0:04:46,participant13,1,0
0:04:47,participant13,1,0
0:04:49,participant13,1,0
0:04:51,participant13,1,0
0:04:58,participant13,1,0
0:04:58,participant13,1,0
0:04:59,participant13,1,0
0:05:00,participant13,1,0
0:05:02,participant13,1,0
0:05:04,participant13,1,0
0:05:07,participant13,1,0
0:05:08,participant13,1,0
0:05:10,participant13,1,0
0:05:11,participant13,1,0
0:05:12,participant13,1,0
0:05:13,participant13,1,0
0:05:15,participant13,1,0
0:05:17,participant13,1,0
0:05:20,participant13,1,0
0:05:22,participant13,1,0
0:05:27,participant13,1,0
0:05:31,participant13,1,0
0:05:32,participant13,1,0
0:05:33,participant13,1,0
0:05:34,participant13,1,0
0:05:35,participant13,1,0
0:05:37,participant13,1,0
0:05:39,participant13,1,0
0:05:40,participant13,1,0
0:05:42,participant13,1,0
0:05:43,participant13,1,0
0:05:44,participant13,1,0
0:05:45,participant13,1,0
0:05:49,participant13,1,0
0:05:49,participant13,1,0
0:05:53,participant13,1,0
0:05:56,participant13,1,0
0:05:58,participant13,1,0
0:06:01,participant13,1,0
0:06:03,participant13,1,0
0:06:05,participant13,1,0
0:06:09,participant13,1,1
0:06:11,participant13,1,1
0:06:15,participant13,1,0
0:06:18,participant13,1,0
0:06:20,participant13,1,0
0:06:23,participant13,1,0
0:06:26,participant13,1,0
0:06:28,participant13,1,0
0:06:29,participant13,1,0
0:06:30,participant13,1,0
0:06:31,participant13,1,0
0:06:33,participant13,1,0
0:06:34,participant13,1,0
0:06:35,participant13,1,0
0:06:36,participant13,1,0
0:06:42,participant13,1,0
0:06:45,participant13,1,0
0:06:47,participant13,1,0
0:06:47,participant13,1,0
0:06:49,participant13,1,0
0:06:51,participant13,1,0
0:06:53,participant13,1,0
0:06:57,participant13,1,0
0:06:59,participant13,1,0
0:07:00,participant13,1,0
0:07:01,participant13,1,0
0:07:02,participant13,1,0
0:07:05,participant13,1,0
0:07:06,participant13,1,0
0:07:08,participant13,1,0
0:07:16,participant13,1,0
0:07:17,participant13,1,0
0:07:26,participant13,1,1
0:07:28,participant13,1,0
0:07:31,participant13,1,0
0:07:34,participant13,1,0
0:07:37,participant13,1,0
0:07:38,participant13,1,0
0:07:42,participant13,1,0
0:07:42,participant13,1,0
0:07:45,participant13,1,0
0:07:46,participant13,1,0
0:07:47,participant13,1,0
0:07:50,participant13,1,0
0:07:51,participant13,1,0
0:07:52,participant13,1,0
0:07:55,participant13,1,0
0:07:56,participant13,1,0
0:08:00,participant13,1,0
0:08:03,participant13,1,0
0:08:04,participant13,1,0
0:08:06,participant13,1,0
0:08:08,participant13,1,0
0:08:11,participant13,1,0
0:08:13,participant13,1,0
0:08:15,participant13,1,0
0:08:18,participant13,1,0
0:08:21,participant13,1,0
0:08:25,participant13,1,0
0:08:26,participant13,1,0
0:08:29,participant13,1,0
0:08:30,participant13,1,0
